x,y,Topic,Words,Size
3.358748,14.000886,107,customer | customercustomer |  |  | ,247
3.2297518,9.619922,108,big | mega |  |  | ,246
5.316473,10.168481,109,architecture | architectures | architectural | observatoire | ,245
2.797568,12.227739,110,key | keys | atm |  | ,243
5.4110622,12.157901,111,system | systmes | systemshock | mbs | ,243
9.082026,12.071889,112,neds | eves |  |  | ,240
5.3357244,10.117425,113,structure | posesions | onstruct |  | ,237
7.212781,9.450946,114,aces | ace | vctor |  | ,235
8.300907,10.798955,115,curent | curency |  |  | ,235
6.727045,13.945631,116,areas | spots | avenues | areaschapter | ,235
7.608614,10.408439,117,folowing | fliping | doingstrong |  | ,229
2.3546977,12.723367,118,evaluation | evaluations | praised |  | ,229
6.222637,10.210591,119,order | orders | sort | ordering | ordered,228
6.039276,13.61491,120,environment | habitat |  |  | ,227
2.953664,14.370003,121,economic | econmica | costly | capitalist | expensive,227
5.26374,9.901159,122,construction | constructing | constructioninovationhub | constructionplaybok | longstanding,227
4.8874817,9.341068,123,develop | develope |  |  | ,227
1.8612648,8.710757,124,number | numbers | nombre | numeral | nmero,226
5.748961,12.547305,125,infrastructure |  |  |  | ,226
7.477729,12.217095,126,caried | prone |  |  | ,226
4.1986475,14.174632,127,leadership | spearheaded | multilevel | championed | ,226
7.611307,14.399068,128,international | foreign | internationales | internacional | igp,225
8.592418,10.569638,129,thre | thu | yuke |  | ,225
3.0269108,11.534015,130,case |  |  |  | ,224
2.888828,10.940902,131,quality | garbage |  |  | ,223
6.9424267,8.579332,132,comunications | complies |  |  | ,223
7.279876,9.603085,133,aproach | abreast | sdnasuoht |  | ,223
3.7538958,11.455265,134,plan |  |  |  | ,223
5.184817,9.532163,135,made |  |  |  | ,219
1.6879262,11.66068,136,questions | quiz | subquestions | prerogatives | faqs,219
4.0322566,9.5996275,137,levels | leveling |  |  | ,219
7.482867,12.213972,138,colaboration | colaborations | colaborating | subtitling | coroborating,218
7.575402,14.38646,139,global | globaly | globalization | globalized | globalizacion,218
4.3496447,13.703839,140,government | governmental | cia | intergovernmental | goverment,217
2.7952409,11.2972555,141,experience | experiencing |  |  | ,216
4.715321,11.432774,142,part | partir |  |  | ,216
7.1800995,14.088272,143,state | virginia | nova | statewide | nevada,215
4.6214805,12.92229,144,source |  |  |  | ,214
5.328346,14.890559,145,academic | scholarship | academicaly |  | ,213
3.904984,12.782289,146,among | amongst | frequented |  | ,213
4.9654274,13.919275,147,experts |  |  |  | ,211
4.168534,8.8279085,148,improve |  |  |  | ,210
5.5638094,12.563978,149,digitalization | digitalized | digitaltransformationaroad | digitaltransformation | digitalizacin,210
6.9495015,8.544453,150,comunication | omunication | miscomunication | comuning | comunicational,209
3.9017007,11.724455,151,objectives |  |  |  | ,209
3.7761908,11.8332205,152,objective |  |  |  | ,208
5.2459702,14.679608,153,teaching |  |  |  | ,208
3.51834,11.587693,154,proposed |  |  |  | ,208
3.3559253,10.081607,155,scale | scales | magnitude | scaling | upscaling,207
3.092403,7.8765674,156,year | yearly | season |  | ,206
5.303612,13.218357,157,science | sciencedirect |  |  | ,206
3.157849,11.778722,158,context | contexto |  |  | ,206
2.5232494,11.307258,159,using |  |  |  | ,206
5.288078,11.554697,160,field |  |  |  | ,205
4.8471236,9.364011,161,developed |  |  |  | ,205
5.0300097,9.414755,162,create |  |  |  | ,203
9.05818,10.544301,163,tols | tolset |  |  | ,203
6.8435693,12.422299,164,enginering |  |  |  | ,202
3.9068522,13.242407,165,human | persona | lady |  | ,200
3.4082112,11.655956,166,vision | visual | visionaries | sighted | glance,199
3.6146986,11.241567,167,security |  |  |  | ,199
3.0037892,9.560678,168,main |  |  |  | ,199
5.0188785,9.3951645,169,creation | creations | reproduces |  | ,198
5.2160487,9.528428,170,make |  |  |  | ,197
1.1352831,11.325722,171,provide |  |  |  | ,194
2.4410026,10.21057,172,general | generalist |  |  | ,194
6.918237,8.589876,173,comunity | comunicaciones | corporacin | comunidade | ,193
2.1400678,10.971699,174,necesary | necesity | necting | necesidades | nec,193
8.794518,10.002668,175,alows | arows | arzymanow | morow | carabine,192
4.0086536,11.69053,176,strategies |  |  |  | ,192
7.1528373,9.756813,177,oportunities | oportunely | obliges | objetivos | ,192
4.047931,13.906946,178,role |  |  |  | ,191
5.366373,15.036582,179,universities |  |  |  | ,191
3.4347162,14.104669,180,products | ingredients | ingredient | oducts | cosmetics,190
1.698297,9.746189,181,however | except | though |  | ,190
8.8544035,10.5401945,182,shet |  |  |  | ,188
4.5479164,11.871713,183,activities | leisure | tourism | touristic | resort,188
9.10094,10.899217,184,beter | betcho | wger | poter | docker,187
3.4105175,12.019765,185,impact | impacting | impactful | backlash | ,187
1.8673946,11.488646,186,question |  |  |  | ,187
5.263869,14.704389,187,teachers | educators |  |  | ,187
7.9844193,12.196115,188,tsinghua | tsinghuanese | decembertsinghua |  | ,186
3.8186688,11.390703,189,planing |  |  |  | ,185
8.047136,11.839178,190,chalenges | quilmes | chalengers |  | ,185
5.858885,12.156165,191,platform |  |  |  | ,185
2.3323224,10.271121,192,specific |  |  |  | ,183
4.020801,11.574883,193,method | methodx | methodsin |  | ,182
